Département - commune;Département;Population sans doubles comptes 1999;Département - commune;Département;Population sans doubles comptes 1999
80733;Senlis-le-Sec;302;;;
80734;Sentelie;215;;;
80735;Seux;158;;;
80736;Sorel-en-Vimeu;188;;;
80737;Sorel;163;;;
80738;Soues;127;;;
80740;Sourdon;257;;;
80741;Soyécourt;204;;;
80742;Surcamps;56;;;
80743;Suzanne;151;;;
80744;Tailly;64;;;
80746;Talmas;1 053;;;
80747;Templeux-la-Fosse;171;;;
80748;Templeux-le-Guérard;211;;;
80749;Terramesnil;230;;;
80750;Tertry;186;;;
80751;Thennes;355;;;
80752;Thézy-Glimont;419;;;
80753;Thiepval;98;;;
80754;Thieulloy-l'Abbaye;276;;;
80755;Thieulloy-la-Ville;94;;;
80756;Thièvres;44;;;
80757;Thoix;144;;;
80758;Thory;150;;;
80759;Tilloloy;388;;;
80760;Tilloy-Floriville;324;;;
80761;Tilloy-lès-Conty;228;;;
80762;Tincourt-Boucly;389;;;
80763;Le Titre;289;;;
80764;Toeufles;313;;;
80765;Tours-en-Vimeu;722;;;
80766;Toutencourt;493;;;
80767;Le Translay;182;;;
80769;Treux;244;;;
80770;Tully;663;;;
80771;Ugny-l'Équipée;46;;;
80773;Vadencourt;104;;;
80774;Vaire-sous-Corbie;263;;;
80775;Valines;663;;;
80776;Varennes;177;;;
80777;Vauchelles-lès-Authie;113;;;
80778;Vauchelles-lès-Domart;106;;;
80779;Vauchelles-les-Quesnoy;830;;;
80780;Vaudricourt;451;;;
80781;Vauvillers;262;;;
80782;Vaux-en-Amiénois;389;;;
80783;Vaux-Marquenneville;67;;;
80784;Vaux-sur-Somme;339;;;
80785;Vecquemont;497;;;
80786;Velennes;127;;;
80787;Vercourt;85;;;
80788;Vergies;151;;;
80789;Vermandovillers;119;;;
80790;Verpillières;169;;;
80791;Vers-sur-Selles;768;;;
80792;La Vicogne;195;;;
80793;Vignacourt;2 183;;;
80794;Villecourt;58;;;
80795;Ville-le-Marclet;511;;;
80796;Villeroy;216;;;
80797;Villers-aux-Érables;104;;;
80798;Villers-Bocage;1 309;;;
80799;Villers-Bretonneux;3 952;;;
80800;Villers-Campsart;156;;;
80801;Villers-Carbonnel;304;;;
80802;Villers-Faucon;625;;;
80803;Villers-lès-Roye;203;;;
80804;Villers-sous-Ailly;146;;;
80805;Villers-Tournelle;146;;;
80806;Villers-sur-Authie;362;;;
80807;Ville-sur-Ancre;235;;;
80808;Vironchaux;383;;;
80809;Vismes;306;;;
80810;Vitz-sur-Authie;127;;;
80811;Voyennes;592;;;
80812;Vraignes-en-Vermandois;148;;;
80813;Vraignes-lès-Hornoy;82;;;
80814;Vrély;431;;;
80815;Vron;721;;;
80819;Wargnies;88;;;
80820;Warloy-Baillon;708;;;
80821;Warlus;225;;;
80822;Warsy;108;;;
80823;Warvillers;104;;;
80824;Wiencourt-l'Équipée;205;;;
80825;Wiry-au-Mont;96;;;
80826;Woignarue;735;;;
80827;Woincourt;1 531;;;
80828;Woirel;24;;;
80829;Y;89;;;
80830;Yaucourt-Bussus;175;;;
80832;Yvrench;249;;;
80833;Yvrencheux;138;;;
80834;Yzengremer;516;;;
80835;Yzeux;220;;;
80836;Yonval;211;;;
